iteration,system,target_emotion,control_params,judged_V,judged_A,judged_D,judge_family,judge_confidence,distance_to_target,accepted
629,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.14, -0.025, 0.383, -0.084, -0.089, 0.573, -0.089, 0.217];sent=s09;draw1;g04",-0.336,0.19,-0.248,sadness,0.8,0.273,1
630,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.04, -0.134, 0.269, 0.035, -0.142, 0.631, 0.098, 0.249];sent=s08;draw0;g04",-0.277,0.247,-0.128,sadness,0.4,0.154,1
631,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.04, -0.134, 0.269, 0.035, -0.142, 0.631, 0.098, 0.249];sent=s09;draw1;g04",-0.347,0.223,-0.209,sadness,0.8,0.227,1
632,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.093, -0.111, 0.248, -0.037, -0.145, 0.653, -0.223, 0.055];sent=s08;draw0;g05",-0.266,0.316,-0.055,neutral,1.0,0.077,0
633,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.093, -0.111, 0.248, -0.037, -0.145, 0.653, -0.223, 0.055];sent=s09;draw1;g05",-0.342,0.227,-0.185,sadness,1.0,0.209,1
634,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.012, -0.117, 0.143, -0.072, -0.2, 0.725, -0.087, 0.138];sent=s08;draw0;g05",-0.294,0.228,-0.161,sadness,1.0,0.186,1
635,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.012, -0.117, 0.143, -0.072, -0.2, 0.725, -0.087, 0.138];sent=s09;draw1;g05",-0.349,0.216,-0.214,sadness,1.0,0.236,1
636,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.014, 0.003, 0.154, -0.258, -0.207, 0.606, -0.107, 0.024];sent=s08;draw0;g05",-0.294,0.247,-0.192,sadness,0.6,0.188,1
637,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.014, 0.003, 0.154, -0.258, -0.207, 0.606, -0.107, 0.024];sent=s09;draw1;g05",-0.305,0.277,-0.136,sadness,0.8,0.133,1
638,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.118, 0.093, 0.314, -0.039, -0.098, 0.526, -0.09, 0.068];sent=s08;draw0;g05",-0.275,0.259,-0.113,sadness,0.6,0.138,1
639,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.118, 0.093, 0.314, -0.039, -0.098, 0.526, -0.09, 0.068];sent=s09;draw1;g05",-0.309,0.269,-0.105,sadness,0.6,0.129,1
640,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.098, -0.107, 0.284, 0.009, -0.054, 0.634, -0.092, 0.167];sent=s08;draw0;g05",-0.307,0.225,-0.171,sadness,1.0,0.195,1
641,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.098, -0.107, 0.284, 0.009, -0.054, 0.634, -0.092, 0.167];sent=s09;draw1;g05",-0.324,0.216,-0.233,sadness,0.8,0.243,1
642,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.121, -0.147, 0.255, -0.063, -0.043, 0.601, -0.251, 0.118];sent=s08;draw0;g05",-0.338,0.214,-0.23,sadness,0.6,0.244,1
643,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.121, -0.147, 0.255, -0.063, -0.043, 0.601, -0.251, 0.118];sent=s09;draw1;g05",-0.33,0.262,-0.167,sadness,0.8,0.168,1
644,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.145, -0.046, 0.239, -0.008, -0.177, 0.853, -0.094, 0.023];sent=s08;draw0;g05",-0.344,0.227,-0.207,sadness,0.6,0.222,1
645,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.145, -0.046, 0.239, -0.008, -0.177, 0.853, -0.094, 0.023];sent=s09;draw1;g05",-0.349,0.217,-0.21,sadness,0.8,0.233,1
646,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.017, -0.017, 0.489, -0.011, -0.179, 0.601, -0.113, 0.173];sent=s08;draw0;g05",-0.296,0.192,-0.226,sadness,0.6,0.252,1
647,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.017, -0.017, 0.489, -0.011, -0.179, 0.601, -0.113, 0.173];sent=s09;draw1;g05",-0.281,0.236,-0.182,sadness,0.6,0.191,1
648,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.179, -0.089, 0.133, -0.152, -0.126, 0.708, -0.019, 0.08];sent=s08;draw0;g06",-0.298,0.257,-0.127,neutral,0.4,0.146,0
649,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.179, -0.089, 0.133, -0.152, -0.126, 0.708, -0.019, 0.08];sent=s09;draw1;g06",-0.301,0.323,-0.059,neutral,0.4,0.071,0
650,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.104, 0.095, 0.194, -0.131, -0.255, 0.669, -0.066, 0.087];sent=s08;draw0;g06",-0.296,0.274,-0.114,neutral,0.8,0.126,0
651,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.104, 0.095, 0.194, -0.131, -0.255, 0.669, -0.066, 0.087];sent=s09;draw1;g06",-0.326,0.282,-0.156,sadness,0.8,0.146,1
652,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.19, -0.075, 0.187, -0.043, -0.149, 0.623, -0.118, 0.216];sent=s08;draw0;g06",-0.327,0.222,-0.195,sadness,1.0,0.215,1
653,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.19, -0.075, 0.187, -0.043, -0.149, 0.623, -0.118, 0.216];sent=s09;draw1;g06",-0.32,0.26,-0.217,sadness,1.0,0.2,1
654,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.016, -0.087, 0.227, -0.069, -0.202, 0.699, -0.094, 0.172];sent=s08;draw0;g06",-0.296,0.218,-0.2,sadness,1.0,0.216,1
655,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.016, -0.087, 0.227, -0.069, -0.202, 0.699, -0.094, 0.172];sent=s09;draw1;g06",-0.32,0.223,-0.246,sadness,1.0,0.246,1
656,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.003, 0.013, 0.095, -0.068, -0.213, 0.654, 0.065, 0.086];sent=s08;draw0;g06",-0.282,0.228,-0.162,neutral,0.4,0.186,0
657,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.003, 0.013, 0.095, -0.068, -0.213, 0.654, 0.065, 0.086];sent=s09;draw1;g06",-0.35,0.282,-0.111,sadness,0.8,0.135,1
658,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.059, -0.096, 0.142, -0.24, -0.176, 0.647, -0.217, 0.022];sent=s08;draw0;g06",-0.305,0.275,-0.099,sadness,1.0,0.121,1
659,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.059, -0.096, 0.142, -0.24, -0.176, 0.647, -0.217, 0.022];sent=s09;draw1;g06",-0.302,0.262,-0.152,sadness,0.8,0.153,1
660,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.013, -0.077, 0.014, -0.208, -0.009, 0.766, -0.093, 0.042];sent=s08;draw0;g06",-0.27,0.315,-0.044,neutral,1.0,0.08,0
661,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.013, -0.077, 0.014, -0.208, -0.009, 0.766, -0.093, 0.042];sent=s09;draw1;g06",-0.284,0.295,-0.099,neutral,0.8,0.1,0
662,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.11, -0.037, 0.21, -0.144, -0.059, 0.721, -0.047, 0.138];sent=s08;draw0;g06",-0.295,0.246,-0.139,sadness,1.0,0.16,1
663,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.11, -0.037, 0.21, -0.144, -0.059, 0.721, -0.047, 0.138];sent=s09;draw1;g06",-0.299,0.26,-0.143,sadness,0.6,0.15,1
664,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.132, -0.14, 0.032, -0.18, -0.211, 0.639, -0.149, 0.118];sent=s08;draw0;g07",-0.278,0.3,-0.054,neutral,1.0,0.092,0
665,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.132, -0.14, 0.032, -0.18, -0.211, 0.639, -0.149, 0.118];sent=s09;draw1;g07",-0.262,0.336,-0.026,neutral,0.8,0.072,0
666,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.071, -0.122, 0.236, -0.147, -0.179, 0.681, -0.109, 0.054];sent=s08;draw0;g07",-0.328,0.227,-0.208,neutral,0.4,0.219,0
667,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.071, -0.122, 0.236, -0.147, -0.179, 0.681, -0.109, 0.054];sent=s09;draw1;g07",-0.326,0.243,-0.201,sadness,0.8,0.202,1
668,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.077, -0.087, 0.253, -0.034, -0.165, 0.621, -0.225, 0.138];sent=s08;draw0;g07",-0.353,0.207,-0.258,sadness,1.0,0.273,1
669,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.077, -0.087, 0.253, -0.034, -0.165, 0.621, -0.225, 0.138];sent=s09;draw1;g07",-0.31,0.242,-0.204,sadness,1.0,0.202,1
670,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.056, -0.127, 0.167, -0.148, -0.217, 0.71, -0.111, 0.065];sent=s08;draw0;g07",-0.28,0.311,-0.053,sadness,0.6,0.081,1
671,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.056, -0.127, 0.167, -0.148, -0.217, 0.71, -0.111, 0.065];sent=s09;draw1;g07",-0.287,0.315,-0.05,neutral,0.4,0.078,0
672,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.098, -0.027, 0.215, -0.068, -0.166, 0.695, -0.082, 0.147];sent=s08;draw0;g07",-0.28,0.274,-0.116,neutral,1.0,0.124,0
673,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.098, -0.027, 0.215, -0.068, -0.166, 0.695, -0.082, 0.147];sent=s09;draw1;g07",-0.283,0.303,-0.074,sadness,0.6,0.087,1
674,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.091, -0.121, 0.122, -0.087, -0.185, 0.587, -0.141, 0.141];sent=s08;draw0;g07",-0.335,0.211,-0.248,sadness,1.0,0.258,1
675,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.091, -0.121, 0.122, -0.087, -0.185, 0.587, -0.141, 0.141];sent=s09;draw1;g07",-0.324,0.256,-0.179,sadness,0.6,0.178,1
676,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.068, -0.082, 0.237, -0.014, -0.147, 0.53, -0.134, 0.181];sent=s08;draw0;g07",-0.281,0.211,-0.197,sadness,1.0,0.219,1
677,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.068, -0.082, 0.237, -0.014, -0.147, 0.53, -0.134, 0.181];sent=s09;draw1;g07",-0.297,0.191,-0.257,sadness,0.8,0.273,1
678,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.03, -0.006, 0.175, -0.139, -0.111, 0.757, -0.12, 0.117];sent=s08;draw0;g07",-0.312,0.249,-0.137,sadness,1.0,0.159,1
679,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.03, -0.006, 0.175, -0.139, -0.111, 0.757, -0.12, 0.117];sent=s09;draw1;g07",-0.292,0.295,-0.088,sadness,0.8,0.097,1
680,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.048, -0.079, 0.283, -0.098, -0.217, 0.591, -0.149, 0.134];sent=s08;draw0;g08",-0.308,0.227,-0.191,sadness,0.6,0.205,1
681,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.048, -0.079, 0.283, -0.098, -0.217, 0.591, -0.149, 0.134];sent=s09;draw1;g08",-0.334,0.258,-0.175,sadness,0.6,0.177,1
682,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.048, -0.138, 0.228, -0.107, -0.226, 0.602, -0.099, 0.152];sent=s08;draw0;g08",-0.333,0.259,-0.134,sadness,0.4,0.155,1
683,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.048, -0.138, 0.228, -0.107, -0.226, 0.602, -0.099, 0.152];sent=s09;draw1;g08",-0.349,0.257,-0.147,sadness,0.8,0.169,1
684,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.011, -0.077, 0.304, -0.107, -0.218, 0.533, -0.242, 0.109];sent=s08;draw0;g08",-0.349,0.225,-0.201,sadness,1.0,0.221,1
685,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.011, -0.077, 0.304, -0.107, -0.218, 0.533, -0.242, 0.109];sent=s09;draw1;g08",-0.322,0.232,-0.191,sadness,0.6,0.203,1
686,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.016, -0.078, 0.195, -0.055, -0.16, 0.662, -0.124, 0.069];sent=s08;draw0;g08",-0.313,0.244,-0.161,sadness,0.6,0.175,1
687,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.016, -0.078, 0.195, -0.055, -0.16, 0.662, -0.124, 0.069];sent=s09;draw1;g08",-0.289,0.255,-0.134,sadness,0.6,0.15,1
688,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.017, 0.015, 0.254, -0.046, -0.211, 0.72, -0.181, 0.057];sent=s08;draw0;g08",-0.33,0.257,-0.155,sadness,1.0,0.166,1
689,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.017, 0.015, 0.254, -0.046, -0.211, 0.72, -0.181, 0.057];sent=s09;draw1;g08",-0.298,0.288,-0.118,sadness,0.6,0.114,1
690,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.081, -0.03, 0.209, -0.073, -0.186, 0.608, -0.191, 0.176];sent=s08;draw0;g08",-0.315,0.274,-0.128,sadness,1.0,0.134,1
691,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.081, -0.03, 0.209, -0.073, -0.186, 0.608, -0.191, 0.176];sent=s09;draw1;g08",-0.301,0.279,-0.113,neutral,0.8,0.121,0
692,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.027, -0.022, 0.154, -0.125, -0.122, 0.67, -0.185, 0.121];sent=s08;draw0;g08",-0.265,0.287,-0.058,neutral,1.0,0.105,0
693,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.027, -0.022, 0.154, -0.125, -0.122, 0.67, -0.185, 0.121];sent=s09;draw1;g08",-0.322,0.297,-0.083,sadness,0.6,0.102,1
694,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.024, -0.077, 0.193, 0.054, -0.135, 0.58, -0.113, 0.087];sent=s08;draw0;g08",-0.273,0.325,-0.053,neutral,1.0,0.067,0
695,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.024, -0.077, 0.193, 0.054, -0.135, 0.58, -0.113, 0.087];sent=s09;draw1;g08",-0.339,0.242,-0.168,sadness,0.6,0.187,1
696,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.031, -0.122, 0.192, -0.144, -0.245, 0.616, -0.132, 0.118];sent=s08;draw0;g09",-0.307,0.226,-0.187,sadness,0.8,0.204,1
697,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.031, -0.122, 0.192, -0.144, -0.245, 0.616, -0.132, 0.118];sent=s09;draw1;g09",-0.312,0.285,-0.142,sadness,0.8,0.131,1
698,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.071, -0.002, 0.258, -0.142, -0.217, 0.585, -0.224, 0.102];sent=s08;draw0;g09",-0.297,0.241,-0.139,sadness,0.8,0.165,1
699,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.071, -0.002, 0.258, -0.142, -0.217, 0.585, -0.224, 0.102];sent=s09;draw1;g09",-0.331,0.236,-0.2,sadness,0.8,0.208,1
700,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.036, -0.111, 0.306, -0.058, -0.125, 0.692, -0.191, 0.069];sent=s08;draw0;g09",-0.303,0.229,-0.171,neutral,0.4,0.192,0
701,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.036, -0.111, 0.306, -0.058, -0.125, 0.692, -0.191, 0.069];sent=s09;draw1;g09",-0.27,0.286,-0.109,sadness,0.8,0.112,1
702,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.051, -0.112, 0.177, -0.146, -0.184, 0.556, -0.132, 0.12];sent=s08;draw0;g09",-0.285,0.235,-0.191,sadness,0.6,0.197,1
703,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.051, -0.112, 0.177, -0.146, -0.184, 0.556, -0.132, 0.12];sent=s09;draw1;g09",-0.305,0.276,-0.131,neutral,1.0,0.132,0
704,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.028, -0.058, 0.327, -0.057, -0.194, 0.543, -0.236, 0.142];sent=s08;draw0;g09",-0.291,0.237,-0.158,sadness,1.0,0.176,1
705,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.028, -0.058, 0.327, -0.057, -0.194, 0.543, -0.236, 0.142];sent=s09;draw1;g09",-0.34,0.25,-0.185,sadness,0.8,0.191,1
706,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.116, -0.097, 0.277, -0.104, -0.17, 0.577, -0.122, 0.136];sent=s08;draw0;g09",-0.283,0.291,-0.105,neutral,1.0,0.105,0
707,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.116, -0.097, 0.277, -0.104, -0.17, 0.577, -0.122, 0.136];sent=s09;draw1;g09",-0.305,0.247,-0.154,sadness,0.8,0.168,1
708,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.008, -0.024, 0.298, -0.097, -0.224, 0.539, -0.273, 0.043];sent=s08;draw0;g09",-0.315,0.263,-0.152,sadness,0.8,0.155,1
709,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.008, -0.024, 0.298, -0.097, -0.224, 0.539, -0.273, 0.043];sent=s09;draw1;g09",-0.304,0.269,-0.168,sadness,0.6,0.158,1
710,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.003, -0.034, 0.311, -0.05, -0.319, 0.57, -0.213, 0.099];sent=s08;draw0;g09",-0.319,0.227,-0.155,sadness,1.0,0.188,1
711,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.003, -0.034, 0.311, -0.05, -0.319, 0.57, -0.213, 0.099];sent=s09;draw1;g09",-0.337,0.234,-0.187,sadness,0.8,0.203,1
712,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.037, -0.025, 0.272, -0.079, -0.3, 0.531, -0.184, 0.172];sent=s08;draw0;g10",-0.326,0.216,-0.223,sadness,1.0,0.236,1
713,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.037, -0.025, 0.272, -0.079, -0.3, 0.531, -0.184, 0.172];sent=s09;draw1;g10",-0.325,0.227,-0.229,sadness,0.6,0.232,1
714,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.003, -0.092, 0.35, -0.098, -0.22, 0.54, -0.191, 0.107];sent=s08;draw0;g10",-0.315,0.227,-0.193,sadness,1.0,0.207,1
715,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.003, -0.092, 0.35, -0.098, -0.22, 0.54, -0.191, 0.107];sent=s09;draw1;g10",-0.318,0.213,-0.233,sadness,1.0,0.244,1
716,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.013, -0.08, 0.297, -0.042, -0.205, 0.592, -0.302, 0.071];sent=s08;draw0;g10",-0.303,0.225,-0.206,sadness,0.8,0.216,1
717,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.013, -0.08, 0.297, -0.042, -0.205, 0.592, -0.302, 0.071];sent=s09;draw1;g10",-0.336,0.257,-0.196,sadness,0.6,0.191,1
718,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.008, -0.032, 0.255, -0.071, -0.228, 0.564, -0.158, 0.076];sent=s08;draw0;g10",-0.281,0.239,-0.148,neutral,0.4,0.17,0
719,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.008, -0.032, 0.255, -0.071, -0.228, 0.564, -0.158, 0.076];sent=s09;draw1;g10",-0.307,0.222,-0.23,sadness,0.8,0.234,1
720,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.03, -0.102, 0.284, -0.044, -0.279, 0.591, -0.144, 0.126];sent=s08;draw0;g10",-0.306,0.231,-0.206,sadness,1.0,0.211,1
721,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.03, -0.102, 0.284, -0.044, -0.279, 0.591, -0.144, 0.126];sent=s09;draw1;g10",-0.34,0.196,-0.266,sadness,0.8,0.282,1
722,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.021, -0.06, 0.233, -0.064, -0.254, 0.605, -0.15, 0.156];sent=s08;draw0;g10",-0.304,0.246,-0.173,sadness,1.0,0.179,1
723,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.021, -0.06, 0.233, -0.064, -0.254, 0.605, -0.15, 0.156];sent=s09;draw1;g10",-0.3,0.248,-0.21,sadness,0.6,0.2,1
724,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.0, -0.022, 0.238, -0.076, -0.268, 0.533, -0.2, 0.121];sent=s08;draw0;g10",-0.307,0.254,-0.147,neutral,1.0,0.158,0
725,indextts2-p5a-sad,sadness,"raw_emo_vector=[-0.0, -0.022, 0.238, -0.076, -0.268, 0.533, -0.2, 0.121];sent=s09;draw1;g10",-0.308,0.235,-0.175,sadness,1.0,0.189,1
726,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.031, -0.127, 0.28, -0.051, -0.201, 0.596, -0.194, 0.107];sent=s08;draw0;g10",-0.306,0.214,-0.212,sadness,0.6,0.227,1
727,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.031, -0.127, 0.28, -0.051, -0.201, 0.596, -0.194, 0.107];sent=s09;draw1;g10",-0.332,0.248,-0.198,sadness,0.8,0.199,1
728,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.007, 0.063, 0.005, 0.052, 0.079, 0.784, -0.095, 0.206];sent=s10;draw0;heldout",-0.101,0.359,0.015,neutral,1.0,0.2,0
729,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.007, 0.063, 0.005, 0.052, 0.079, 0.784, -0.095, 0.206];sent=s10;draw1;heldout",-0.187,0.321,-0.01,neutral,1.0,0.13,0
730,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.007, 0.063, 0.005, 0.052, 0.079, 0.784, -0.095, 0.206];sent=h03;draw0;heldout",-0.237,0.357,0.04,sadness,0.4,0.122,1
731,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.007, 0.063, 0.005, 0.052, 0.079, 0.784, -0.095, 0.206];sent=h03;draw1;heldout",-0.246,0.351,0.002,neutral,1.0,0.089,0
732,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.007, 0.063, 0.005, 0.052, 0.079, 0.784, -0.095, 0.206];sent=h04;draw0;heldout",-0.266,0.278,-0.032,neutral,1.0,0.119,0
733,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.007, 0.063, 0.005, 0.052, 0.079, 0.784, -0.095, 0.206];sent=h04;draw1;heldout",-0.311,0.295,-0.04,neutral,1.0,0.105,0
734,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.007, 0.063, 0.005, 0.052, 0.079, 0.784, -0.095, 0.206];sent=s07;draw0;heldout",0.161,0.339,0.015,neutral,1.0,0.452,0
735,indextts2-p5a-sad,sadness,"raw_emo_vector=[0.007, 0.063, 0.005, 0.052, 0.079, 0.784, -0.095, 0.206];sent=s07;draw1;heldout",0.143,0.303,-0.05,neutral,1.0,0.432,0
736,indextts2-p5a-sad-diag,sadness,"raw_emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3];sent=s10;draw0;unclamped_p46_route",-0.168,0.335,0.022,neutral,1.0,0.155,0
737,indextts2-p5a-sad-diag,sadness,"raw_emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3];sent=s10;draw1;unclamped_p46_route",-0.212,0.308,-0.059,neutral,1.0,0.107,0
738,indextts2-p5a-sad-diag,sadness,"raw_emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3];sent=h03;draw0;unclamped_p46_route",-0.256,0.348,0.021,neutral,0.4,0.103,0
739,indextts2-p5a-sad-diag,sadness,"raw_emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3];sent=h03;draw1;unclamped_p46_route",-0.282,0.3,-0.056,sadness,0.4,0.091,1
740,indextts2-p5a-sad-diag,sadness,"raw_emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3];sent=h04;draw0;unclamped_p46_route",-0.303,0.238,-0.11,sadness,0.6,0.159,1
741,indextts2-p5a-sad-diag,sadness,"raw_emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3];sent=h04;draw1;unclamped_p46_route",-0.294,0.298,-0.0,neutral,1.0,0.116,0
742,indextts2-p5a-sad-diag,sadness,"raw_emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3];sent=s07;draw0;unclamped_p46_route",0.032,0.313,0.001,neutral,0.8,0.329,0
743,indextts2-p5a-sad-diag,sadness,"raw_emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3];sent=s07;draw1;unclamped_p46_route",-0.073,0.218,-0.131,sadness,1.0,0.276,1
744,indextts2-p5a-fear,fear,"raw_emo_vector=[0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.15, 0.0];sent=s12;draw0;g01",-0.159,0.674,0.452,fear,0.82,0.493,1
745,indextts2-p5a-fear,fear,"raw_emo_vector=[0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.15, 0.0];sent=s13;draw1;g01",-0.192,0.664,0.448,fear,0.83,0.484,1
746,indextts2-p5a-fear,fear,"raw_emo_vector=[0.403, -0.132, -0.07, 0.524, -0.202, -0.064, 0.024, 0.134];sent=s12;draw0;g01",-0.105,0.62,0.413,fear,0.8,0.45,1
747,indextts2-p5a-fear,fear,"raw_emo_vector=[0.403, -0.132, -0.07, 0.524, -0.202, -0.064, 0.024, 0.134];sent=s13;draw1;g01",-0.302,0.583,0.293,fear,0.83,0.325,1
748,indextts2-p5a-fear,fear,"raw_emo_vector=[0.007, 0.25, -0.032, 0.68, -0.178, 0.064, 0.037, 0.067];sent=s12;draw0;g01",-0.2,0.809,0.621,fear,0.42,0.698,1
749,indextts2-p5a-fear,fear,"raw_emo_vector=[0.007, 0.25, -0.032, 0.68, -0.178, 0.064, 0.037, 0.067];sent=s13;draw1;g01",-0.302,0.71,0.495,fear,0.62,0.551,1
750,indextts2-p5a-fear,fear,"raw_emo_vector=[0.153, -0.068, -0.15, 0.652, 0.066, 0.083, 0.313, -0.115];sent=s12;draw0;g01",-0.36,0.791,0.622,surprise,0.8,0.707,0
751,indextts2-p5a-fear,fear,"raw_emo_vector=[0.153, -0.068, -0.15, 0.652, 0.066, 0.083, 0.313, -0.115];sent=s13;draw1;g01",-0.403,0.829,0.651,fear,0.62,0.759,1
752,indextts2-p5a-fear,fear,"raw_emo_vector=[-0.086, -0.057, 0.084, 0.578, -0.077, 0.086, 0.223, -0.089];sent=s12;draw0;g01",-0.104,0.569,0.281,fear,0.8,0.315,1
753,indextts2-p5a-fear,fear,"raw_emo_vector=[-0.086, -0.057, 0.084, 0.578, -0.077, 0.086, 0.223, -0.089];sent=s13;draw1;g01",-0.261,0.592,0.308,fear,1.0,0.333,1
754,indextts2-p5a-fear,fear,"raw_emo_vector=[-0.115, 0.265, 0.13, 0.443, 0.041, -0.082, 0.297, 0.121];sent=s12;draw0;g01",-0.495,0.866,0.76,surprise,0.8,0.895,0
