iteration,system,target_emotion,control_params,judged_V,judged_A,judged_D,judge_family,judge_confidence,distance_to_target,accepted
62,hume-octave-fair,joy,"octave;desc=laughing with joy, just heard wonderful news, elated",-0.09,0.713,0.546,anger,0.6,0.545,0
63,hume-octave-fair,joy,"octave;desc=cheerful and playful, sunny warmth, giggling between words",-0.167,0.604,0.41,anger,0.4,0.516,0
64,hume-octave-fair,anger,"octave;desc=furious, harsh, clipped, seething with rage",-0.199,0.573,0.408,anger,1.0,0.256,1
65,hume-octave-fair,anger,"octave;desc=shouting in outrage, aggressive, confrontational",-0.573,0.797,0.715,neutral,0.8,0.355,0
66,hume-octave-fair,anger,"octave;desc=cold fury, menacing, speaking through gritted teeth",-0.216,0.285,0.013,neutral,1.0,0.609,0
67,openai-tts-fair,sadness,"4o-mini-tts;voice=coral;instr=Speak as if quietly devastated: slow, heavy, voice breaking,",-0.125,0.496,0.272,neutral,0.6,0.39,0
68,openai-tts-fair,sadness,"4o-mini-tts;voice=coral;instr=Speak like someone grieving at a funeral: hollow, drained, a",-0.084,0.334,0.146,neutral,1.0,0.297,0
69,openai-tts-fair,sadness,"4o-mini-tts;voice=coral;instr=Speak with deep melancholy: low pitch, trembling, exhausted ",-0.124,0.319,0.097,neutral,1.0,0.24,0
70,openai-tts-fair,joy,"4o-mini-tts;voice=coral;instr=Speak with genuine delight: warm, bright, smiling while spea",-0.159,0.523,0.367,neutral,1.0,0.495,0
71,openai-tts-fair,joy,"4o-mini-tts;voice=coral;instr=Speak as if you just heard wonderful news: elated, laughing ",-0.185,0.631,0.492,neutral,0.6,0.574,0
72,openai-tts-fair,joy,"4o-mini-tts;voice=coral;instr=Speak cheerfully and playfully: sunny, melodious, upbeat but",-0.166,0.491,0.366,neutral,1.0,0.506,0
73,openai-tts-fair,anger,"4o-mini-tts;voice=ash;instr=Speak with furious, harsh, clipped, seething rage — raised v",-0.267,0.421,0.237,anger,0.61,0.362,1
74,openai-tts-fair,anger,"4o-mini-tts;voice=coral;instr=Speak with furious, harsh, clipped, seething rage — raised v",-0.262,0.6,0.417,anger,0.8,0.187,1
75,openai-tts-fair,anger,"4o-mini-tts;voice=ballad;instr=Speak with furious, harsh, clipped, seething rage — raised v",-0.27,0.712,0.587,neutral,0.8,0.232,0
76,chatterbox-fair,sadness,ref=sadness;ex=0.3;cfg=0.5,-0.148,0.301,-0.04,neutral,1.0,0.162,0
